#,Topic,Competency Cluster,,Antecedents
302,"%azimuth","Management of system state; eth-watcher (also Jael).",,"102, 290"
303,"%testing","Advanced debugging techniques",,"185, 190, 288, 299, 300"
304,"%arvo","Describe the subject structure of Arvo and system components.",,"301"
305,,"Placeholder",,
310,,"Placeholder",,
314,"%clay","Work with marks.",,"265"
315,"%clay","Manage desks manually; convert data with tubes; access arbitrary revisions of data.",,"265, 314"
320,"%dill","Inject %belt events; use term/%herm.",,"270"
325,,"Placeholder",,
330,"%api","Parsing and reparsing of JSON inputs.",,"225, 235"
333,"%stdlib","Parsing dates",,"183"
335,,"Placeholder",,
340,,"Placeholder",,
345,,"Placeholder",,
350,"%nock","Technical description of Hoon builder (Hoon→AST).",,"250"
353,"%runtime","King/serf operations.",,"300"
360,"%hoon","Deep Hoon",,"288, 299, 350"
365,,"Placeholder",,
370,"%cli","%shoe/%sole generators",,"263"
375,"%api","Simple front-end operations. (flavored by language)",,"330, external"
380,,"Placeholder",,
382,"%gall","Advanced agents without front-end interface.",,"217, 282, 330"
383,"%stdlib","Parse text",,"283, 370"
385,,"Placeholder",,
390,"%testing","CI integration of testing.",,"190, 217, 282"
395,,"Placeholder",,
400,"%arvo","Management of %unix interface; king/serf dynamics.",,"304"
401,,"Placeholder",,
402,"%azimuth","Ecliptic contract structure; programmatic Bridge activities; L2.",,"302, Solidity/EVM"
405,"%ames","Technical description of network, packets, etc.",,"255"
410,,"Placeholder",,
415,"%clay","Produce full marks.",,"315"
420,"%dill","Manage terminal windows directly (e.g. %webterm).",,"320, 375"
425,,"Placeholder",,
430,"%gall","Thread composition and management.",,"280, 282"
433,"%stdlib","TBD advanced stuff",,"360"
435,,"Placeholder",,
440,,"Placeholder",,
445,,"Placeholder",,
450,"%nock","Technical description of Hoon builder (AST→Nock); jet matching.",,"350"
453,"%runtime","Jet construction/u3; jet dashboard.",,"353, 400, 450"
460,,"Placeholder",,
465,,"Placeholder",,
470,"%cli","Dojo/Helm/Hood internals.",,"370"
475,,"Placeholder",,
480,"%gall","Technical description of Spider as thread handler.",,"430"
482,"%gall","Advanced agents with front-end interface.",,"375, 382"
483,"%hoon","Advanced Molds",,"350"
485,"%arvo","Aqua",,"300"
490,,"Placeholder",,
495,,"Placeholder",,
500,"%arvo","OTA production.",,"400, 302, 405, 415, 420, 275, 390, 301, 485"
550,"%runtime","Produce working runtime implementation of Arvo.",,"500, 450, 453"
